,latitude,longitude,station_name,total_slots,elev_meters,scaled_lat,scaled_long,scaled_elev,station_cluster,station_id
0,49.270877,-123.115103,0009 Spyglass & Seawall,14,0.87,-0.22455200204844755,-0.09765852818791,-1.6327039848579163,1,9
1,49.271721,-123.104207,0011 Ontario & Seawall,20,7.7,-0.14505071154494473,0.3476329256124176,-1.2017462053043995,1,11
2,49.262487,-123.114397,0001 10th & Cambie,52,31.07,-1.0148551149912144,-0.06880612672071448,0.27284871536407695,2,1
3,49.285871,-123.12105,0002 Burrard Station (Melville & Dunsmuir),28,26.91,1.1878204503314171,-0.3406970997505346,0.010361985797073871,3,2
4,49.279764,-123.110154,0005 Dunsmuir & Beatty,26,20.26,0.6125664442834587,0.10459435404979302,-0.40923819488094776,3,5
5,49.260599,-123.113504,0007 12th & Yukon (City Hall),16,46.91,-1.1926968643639189,-0.032311516933685794,1.2723174164076654,5,7
6,49.264215,-123.117772,0008 8th & Ash,16,22.0,-0.852084700311203,-0.20673368330828756,-0.2994480724178264,2,8
7,49.282214,-123.114101,0012 Dunsmuir & Richards,24,33.63,0.8433462567641044,-0.05670936916554351,0.4343790104822328,3,12
8,49.287214,-123.11287,0014 Canada Place,26,9.12,1.314325465907241,-0.006401570007141326,-1.1121473697310473,7,14
9,49.282409,-123.118541,0015 Granville & Georgia,20,33.94,0.86171444592051,-0.2381607324977542,0.4539393196566967,8,15
10,49.287097,-123.118551,0016 Pender & Burrard,26,21.89,1.3033045524136655,-0.23856940673962423,-0.3063888272861846,3,16
11,49.28602,-123.116624,0024 Hornby & Pender,22,24.22,1.2018556307639328,-0.1598178803564773,-0.1593710196200508,3,24
12,49.277483,-123.114279,0026 Beatty & Robson,20,19.56,0.3977057290718319,-0.06398377066815829,-0.45340663495231864,3,26
14,49.28803,-123.142135,0031 Morton & Denman,26,8.98,1.3911892728395059,-1.2023867384599234,-1.1209810577453216,0,31
15,49.288444,-123.139203,0032 Comox & Denman,18,16.87,1.4301863513565223,-1.0825634507816166,-0.6231396403694431,0,32
16,49.291285,-123.13526,0033 Robson & Denman,24,16.57,1.6977967379922394,-0.9214231972637251,-0.642068971828602,0,33
17,49.285836,-123.127265,0036 Bute & Robson,26,42.38,1.1845235958677043,-0.5946881409920233,0.9864845113743667,8,36
18,49.279938,-123.127478,0039 Helmcken & Burrard,15,40.03,0.6289565207617706,-0.6033929023411831,0.838204748277622,8,39
19,49.28972,-123.144028,0047 Chilco & Beach,14,11.69,1.5503802455303626,-1.2797487724217578,-0.9499860968975864,0,47
20,49.276115,-123.114496,0064 Expo & Smithe,14,10.05,0.26884581745021185,-0.07285200171418227,-1.053466442207655,7,64
21,49.269361,-123.13782,0066 Anderson & 2nd,28,9.88,-0.3673528982603232,-1.0260438031493457,-1.064193063367845,10,66
22,49.265089,-123.119425,0081 7th & Heather,18,17.71,-0.7697575345526111,-0.27428753546814527,-0.5701375122837983,2,81
25,49.28062,-123.12482,0037 Hornby & Nelson,18,36.15,0.6931980848887295,-0.4947672888867464,0.5933853947391671,8,37
26,49.289581,-123.132184,0041 Cardero & Robson,14,20.79,1.5372870235157636,-0.7957150005041163,-0.3757963759697672,0,41
27,49.278283,-123.118612,0058 Homer & Smithe,18,19.95,0.47306240253529597,-0.2410623196143344,-0.4287985040554121,3,58
28,49.285253,-123.134356,0048 Comox & Broughton,12,35.74,1.1296074200809998,-0.8844790458101748,0.5675153084116502,8,48
29,49.275679,-123.116963,0027 Beatty & Nelson,14,10.82,0.22777643041284149,-0.17367193715134088,-1.004881158129147,7,27
30,49.279739,-123.116251,0025 Homer & Robson (Vancouver Public Library),20,28.05,0.6102115482376628,-0.14457433113972026,0.08229344534187763,3,25
31,49.273833,-123.114373,0057 Marinaside & Cooperage,26,8.74,0.05389090639766341,-0.06782530854069106,-1.1361245229126489,7,57
32,49.279611,-123.115056,0125 Hamilton & Robson,18,27.25,0.5981544804839101,-0.09573775925135324,0.03181522811745392,3,125
33,49.282759,-123.106955,0030 Abbott & Cordova,14,10.15,0.8946829905603154,0.23532924398231228,-1.0471566650546018,7,30
34,49.279821,-123.10802,0053 Keefer & Abbott,28,10.21,0.6179356072675256,0.19180543723709392,-1.04337079876277,7,53
35,49.263088,-123.12415,0080 Laurel & Broadway,14,40.48,-0.9582434140518582,-0.46738611469016683,0.8665987454663601,2,80
36,49.283343,-123.131099,0050 Bute & Comox,22,49.95,0.9496933621886108,-0.7513738452757387,1.4641346418604757,8,50
37,49.265605,-123.152566,0109 7th & Arbutus,16,41.34,-0.721152480169229,-1.628674840019103,0.920862828982616,6,109
38,49.28026,-123.135244,0088 Harwood & Bute,20,35.08,0.659287581830338,-0.9207693184768492,0.5258707792015005,8,88
39,49.287528,-123.142139,0028 Davie & Beach,30,10.66,1.3439029602417427,-1.2025502081567876,-1.014976801574032,0,28
40,49.278004,-123.105664,0054 Expo & Carrall,16,8.76,0.44678176266517644,0.28808908859077303,-1.134862567482038,7,54
41,49.258763,-123.115392,0072 14th & Cambie,14,50.32,-1.3656404299611802,-0.10946921377400427,1.4874808173267715,5,72
42,49.288011,-123.132006,0096 Nicola & Robson,18,29.67,1.3893995518445938,-0.7884405990015015,0.18451183522133563,8,96
43,49.25741,-123.148531,0115 Cypress & 16th,12,55.38,-1.4930874039555901,-1.463774783477401,1.8067555412712513,6,115
44,49.268269,-123.147885,0076 Cypress & 4th,18,21.07,-0.4702147575379349,-1.4373744274608449,-0.3581289999412189,10,76
